date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,V,JNJ
2023-07-03,192.46,337.99,130.22,119.9,286.02,279.82,424.13,146.61,237.97,163.35
2023-06-30,193.97,340.54,130.36,119.7,286.98,261.77,423.02,145.44,237.48,165.52
2023-06-29,189.59,335.05,127.9,119.1,281.53,257.5,408.22,143.43,234.32,164.1
2023-06-28,189.25,335.85,129.04,120.18,285.29,256.24,411.17,138.59,227.96,162.96
2023-06-27,188.06,334.57,129.18,118.33,287.05,250.21,418.76,139.2,227.34,163.29
2023-06-26,185.27,328.6,127.33,118.34,278.47,241.05,406.32,139.19,226.3,163.63
2023-06-23,186.68,335.02,129.33,122.34,288.73,256.6,422.09,138.85,229.55,165.48
2023-06-22,187.0,339.71,130.15,123.15,284.88,264.61,430.25,139.58,228.39,165.62
2023-06-21,183.96,333.56,124.83,120.55,281.64,259.46,430.45,142.32,227.25,163.88
2023-06-20,185.01,338.05,125.78,123.1,284.33,274.45,438.08,142.53,226.47,164.13
2023-06-16,184.92,342.33,125.49,123.53,281.0,260.54,426.92,143.26,228.91,164.23
2023-06-15,186.01,348.1,127.11,125.09,281.83,255.9,426.53,143.09,226.17,163.73
2023-06-14,183.95,337.34,126.42,123.67,273.35,256.79,429.97,141.49,223.44,161.56
2023-06-13,183.31,334.29,126.66,123.83,271.32,258.71,410.22,142.02,223.4,160.74
2023-06-12,183.79,331.85,126.57,123.64,271.05,249.83,394.82,141.0,226.17,159.9
2023-06-09,180.96,326.79,123.43,122.23,264.95,244.4,387.7,141.01,223.56,160.01
2023-06-08,180.57,325.26,124.25,122.14,264.58,234.86,385.1,140.73,223.05,160.26
2023-06-07,177.82,323.38,121.23,122.5,263.6,224.57,374.75,140.69,225.27,158.52
2023-06-06,179.21,333.68,126.61,127.31,271.12,221.31,386.49875,139.34,228.22,158.18
2023-06-05,179.58,335.94,125.3,126.01,271.39,217.61,391.66818,139.09,226.77,158.32
2023-06-02,180.95,335.4,124.25,124.67,272.61,213.97,393.22803,140.47,228.79,156.97
2023-06-01,180.09,332.58,122.77,123.72,272.61,207.52,397.65756,137.58,226.5,154.54
2023-05-31,177.25,328.39,120.58,122.87,264.72,203.93,378.29962,135.71,221.03,155.06
2023-05-30,177.3,331.21,121.66,123.67,262.52,201.16,401.0672,137.46,221.64,154.37
2023-05-26,175.43,332.89,120.11,124.61,262.04,193.17,389.41843,136.94,225.01,154.35
2023-05-25,172.99,325.92,115.0,123.48,252.69,184.47,379.75946,135.67,223.38,154.41
2023-05-24,171.84,313.85,116.75,120.9,249.21,182.9,305.3474,135.34,222.25,156.66
2023-05-23,171.56,315.26,114.99,122.56,246.74,185.77,306.84726,136.59,224.58,156.81
2023-05-22,174.2,321.18,115.01,125.05,248.32,188.87,311.7267,138.03,231.28,156.87
2023-05-19,175.16,318.34,116.25,122.76,245.64,180.14,312.60663,139.18,233.31,157.71361
2023-05-18,175.05,318.52,118.15,122.83,246.85,176.89,316.7462,139.5,233.6,157.28683
2023-05-17,172.69,314.0,115.5,120.84,242.485,173.86,301.7478,138.45,232.65,157.793
2023-05-16,172.07,311.06635,113.4,119.51,238.82,166.52,292.09882,134.32,230.47,158.14037
2023-05-15,172.07,308.7913,111.2,116.51,238.86,166.35,289.49908,135.23,232.81,158.34879
2023-05-12,172.57,308.30234,110.26,117.51,233.81,167.98,283.36975,134.1,231.38,159.56952
